"SpawnBio","Recruit_0","retainB_1","retainN_1","retainB_2","retainN_2","retainB_3","retainN_3","deadB_1","deadN_1","deadB_2","deadN_2","deadB_3","deadN_3","F_1","F_2","F_3","SPRratio","rec_dev","raw_rec_dev","year","model_run","iteration","scenario"
NA,0,5.77999,50.7448,0,0,0,0,5.77999,50.7448,0,0,0,0,0.104568,0,0,0.252933,-2.64662,-2.64662,1981,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
561.807,0,0,0,57.1499,535.088,0,0,0,0,57.1499,535.088,0,0,0,0.890795,0,0.252933,-2.64662,-2.64662,1981,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,276411,73.9399,652.502,0,0,0,0,73.9399,652.502,0,0,0,0,0.815518,0,0,0.505827,-1.64813,-1.64813,1982,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
1627.14,0,0,0,410.738,4484.71,0,0,0,0,410.738,4484.71,0,0,0,4.00003,0,0.505827,-1.64813,-1.64813,1982,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,708089,213.19,3670.74,0,0,0,0,213.19,3670.74,0,0,0,0,0.0743385,0,0,0.160501,-1.4169,-1.4169,1983,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
5616.61,0,0,0,159.12,1737.13,0,0,0,0,159.12,1737.13,0,0,0,0.383217,0,0.160501,-1.4169,-1.4169,1983,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,842178,75.39,1246.87,0,0,0,0,75.39,1246.87,0,0,0,0,0.00899025,0,0,0.393114,-1.43865,-1.43865,1984,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
16765.9,0,0,0,3495.8,36634.5,0,0,0,0,3495.8,36634.5,0,0,0,2.60901,0,0.393114,-1.43865,-1.43865,1984,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,777771,819.43,11309.7,0,0,0,0,819.43,11309.7,0,0,0,0,0.0725811,0,0,0.127108,0.148548,0.148548,1985,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
28256.3,0,0,0,1019,9479.47,0,0,0,0,1019,9479.47,0,0,0,0.276419,0,0.127108,0.148548,0.148548,1985,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,3759620,387.71,5163.91,0,0,0,0,387.71,5163.91,0,0,0,0,0.0298844,0,0,0.113701,0.383609,0.383609,1986,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
41339.1,0,0,0,2278.89,19111.1,0,0,0,0,2278.89,19111.1,0,0,0,0.304015,0,0.113701,0.383609,0.383609,1986,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,4755870,2247.31,38010.9,0,0,0,0,2247.31,38010.9,0,0,0,0,0.0576644,0,0,0.135413,-0.270557,-0.270557,1987,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
88545.8,0,0,0,3639.76,33811.3,0,0,0,0,3639.76,33811.3,0,0,0,0.293472,0,0.135413,-0.270557,-0.270557,1987,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,2472460,2179.91,34067.8,0,0,0,0,2179.91,34067.8,0,0,0,0,0.0337328,0,0,0.0626508,-1.37837,-1.37837,1988,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
162931,0,0,0,2614.75,24477.4,0,0,0,0,2614.75,24477.4,0,0,0,0.107343,0,0.0626508,-1.37837,-1.37837,1988,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,816608,7290.44,69748.7,0,0,0,0,7290.44,69748.7,0,0,0,0,0.170296,0,0,0.154128,-0.352853,-0.352853,1989,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
195480,0,0,0,8031.52,85158.2,0,0,0,0,8031.52,85158.2,0,0,0,0.115734,0,0.154128,-0.352853,-0.352853,1989,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,2277130,6158.41,51138,0,0,0,0,6158.41,51138,0,0,0,0,0.112377,0,0,0.213664,0.26325,0.26325,1990,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
169471,0,0,0,14443.5,129563,0,0,0,0,14443.5,129563,0,0,0,0.272033,0,0.213664,0.26325,0.26325,1990,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,4216560,24698,173533,0,0,0,0,24698,173533,0,0,0,0,0.777918,0,0,0.291371,0.195155,0.195155,1991,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
126394,0,0,0,10323.5,95058.3,0,0,0,0,10323.5,95058.3,0,0,0,0.305332,0,0.291371,0.195155,0.195155,1991,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,3938990,43433.3,337833,0,0,3.89999,21.5493,43433.3,337833,0,0,3.89999,21.5493,2.152,0,0.0579348,0.524252,0.854447,0.854447,1992,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
122688,0,0,0,30776.4,372660,0.18,0.989387,0,0,30776.4,372660,0.18,0.989387,0,1.47285,0.00372485,0.524252,0.854447,0.854447,1992,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,7615740,822.8,8632.75,0,0,0,0,822.8,8632.75,0,0,0,0,0.0384487,0,0,0.106376,1.85611,1.85611,1993,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
165692,0,0,0,11345.8,151193,0,0,0,0,11345.8,151193,0,0,0,0.133553,0,0.106376,1.85611,1.85611,1993,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,20736300,8838.65,90132.1,0,0,0,0,8838.65,90132.1,0,0,0,0,0.214417,0,0,0.234756,1.2613,1.2613,1994,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
260478,0,0,0,39748.4,580352,0,0,0,0,39748.4,580352,0,0,0,0.275027,0,0.234756,1.2613,1.2613,1994,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,11439400,5993.28,63194.1,0,0,22.68,124.599,5993.28,63194.1,0,0,22.68,124.599,0.109201,0,0.143347,0.114855,1.47042,1.47042,1995,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
516433,0,0,0,26565.7,367683,0,0,0,0,26565.7,367683,0,0,0,0.104639,0,0.114855,1.47042,1.47042,1995,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,14100200,11917.3,119265,0,0,0,0,11917.3,119265,0,0,0,0,0.104863,0,0,0.0805182,1.9456,1.9456,1996,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
717692,0,0,0,19158.7,229820,43.54,238.376,0,0,19158.7,229820,43.54,238.376,0,0.0541998,0.308891,0.0805182,1.9456,1.9456,1996,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,22677500,13018.2,181003,0,0,27.22,149.691,13018.2,181003,0,0,27.22,149.691,0.126481,0,0.144184,0.0854293,1.82255,1.82255,1997,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
831144,0,0,0,24527.6,291921,0.819999,4.49624,0,0,24527.6,291921,0.819999,4.49624,0,0.0557637,0.00592418,0.0854293,1.82255,1.82255,1997,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,20051800,18925.2,274727,0,0,488.251,2702.39,18925.2,274727,0,0,488.251,2702.39,0.13822,0,3.12825,0.148913,0.421014,0.421014,1998,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
1013550,0,0,0,63278.4,775739,74.3899,411.688,0,0,63278.4,775739,74.3899,411.688,0,0.121767,0.943821,0.148913,0.421014,0.421014,1998,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,4937130,14996.2,191885,0,0,725.2,6060.6,14996.2,191885,0,0,725.2,6060.6,2.27661,0,0.00235449,0.132136,0.501165,0.501165,1999,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
1153540,0,0,0,58341.4,718745,429.59,3285.21,0,0,58341.4,718745,429.59,3285.21,0,0.243938,0.00168965,0.132136,0.501165,0.501165,1999,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,5349140,23672.7,273663,0,0,15586.3,124596,23672.7,273663,0,0,15586.3,124596,4.00001,0,0.0442638,0.173433,0.571764,0.571764,2000,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
1015290,0,0,0,35179.2,405272,2336.9,17098.8,0,0,35179.2,405272,2336.9,17098.8,0,0.231635,0.00827501,0.173433,0.571764,0.571764,2000,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,5740430,11550.5,141718,0,0,22546,161935,11550.5,141718,0,0,22546,161935,1.65583,0,0.075758,0.286099,-1.21874,-1.21874,2001,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
774252,0,0,0,41118.4,676730,3136.84,21128.8,0,0,41118.4,676730,3136.84,21128.8,0,0.976918,0.0135688,0.286099,-1.21874,-1.21874,2001,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,957940,16751.4,217021,0,0,35520.9,241274,16751.4,217021,0,0,35520.9,241274,3.79035,0,0.153926,0.41743,2.11565,2.11565,2002,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
561887,0,0,0,36130.7,465716,597.29,3859.41,0,0,36130.7,465716,597.29,3859.41,0,1.43377,0.00345824,0.41743,2.11565,2.11565,2002,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,26881000,10340.6,200297,0,0,37242.3,267513,10340.6,200297,0,0,37242.3,267513,2.3653,0,0.199534,0.359239,1.78326,1.78326,2003,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
376337,0,0,0,21300.5,352512,2618.43,18205.8,0,0,21300.5,352512,2618.43,18205.8,0,0.288378,0.0186645,0.359239,1.78326,1.78326,2003,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,19279300,17049,325907,0,0,46730.8,423173,17049,325907,0,0,46730.8,423173,0.681439,0,0.326746,0.283037,1.7899,1.7899,2004,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
560158,0,0,0,25249.9,374688,1016.32,9088.21,0,0,25249.9,374688,1016.32,9088.21,0,0.0790999,0.00847206,0.283037,1.7899,1.7899,2004,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,19407800,13803,213978,0,0,54152.6,445228,13803,213978,0,0,54152.6,445228,0.650775,0,0.63077,0.283324,1.22791,1.22791,2005,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
839668,0,0,0,30364.2,480106,101.7,790.148,0,0,30364.2,480106,101.7,790.148,0,0.132459,0.00157682,0.283324,1.22791,1.22791,2005,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,11063900,20726.2,315298,0,0,41220.9,345596,20726.2,315298,0,0,41220.9,345596,1.07401,0,0.280579,0.225279,0.595346,0.595346,2006,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
1020310,0,0,0,39900.3,570806,0,0,0,0,39900.3,570806,0,0,0,0.189441,0,0.225279,0.595346,0.595346,2006,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,5877410,46228.1,573724,0,0,48237.1,360505,46228.1,573724,0,0,48237.1,360505,1.49138,0,0.284268,0.299815,-0.0297919,-0.0297919,2007,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
971369,0,0,0,42910.1,639778,0,0,0,0,42910.1,639778,0,0,0,0.462224,0,0.299815,-0.0297919,-0.0297919,2007,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,3145520,30249.2,366473,0,0,39800.1,280269,30249.2,366473,0,0,39800.1,280269,1.74178,0,0.201839,0.359365,0.542629,0.542629,2008,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
781821,0,0,0,41198.5,584751,0,0,0,0,41198.5,584751,0,0,0,0.794082,0,0.359365,0.542629,0.542629,2008,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,5575590,14044.9,172607,0,0,44841.2,288916,14044.9,172607,0,0,44841.2,288916,0.164241,0,0.338048,0.352196,0.793221,0.793221,2009,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
548193,0,0,0,31146.5,462707,1369.73,8487.52,0,0,31146.5,462707,1369.73,8487.52,0,0.535474,0.0143396,0.352196,0.793221,0.793221,2009,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,7163440,11274,165066,0,0,54085.9,338447,11274,165066,0,0,54085.9,338447,0.169545,0,0.508131,0.327781,-2.17101,-2.17101,2010,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
387418,0,0,0,27267.6,439961,0.09,0.546126,0,0,27267.6,439961,0.09,0.546126,0,0.36535,1.22864e-06,0.327781,-2.17101,-2.17101,2010,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,369635,24871.4,282319,0,0,39750.5,275644,24871.4,282319,0,0,39750.5,275644,0.432555,0,0.391268,0.427287,-2.59245,-2.59245,2011,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
326736,0,0,0,23189.9,215057,5805.63,38699.1,0,0,23189.9,215057,5805.63,38699.1,0,0.519047,0.0850369,0.427287,-2.59245,-2.59245,2011,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,242517,1528.37,14672.8,0,0,91425.6,696497,1528.37,14672.8,0,0,91425.6,696497,0.0279394,0,1.49054,0.468529,-2.3441,-2.3441,2012,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
195624,0,0,0,13884.9,123434,1570.78,11410.6,0,0,13884.9,123434,1570.78,11410.6,0,0.38124,0.0435069,0.468529,-2.3441,-2.3441,2012,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,310886,921.56,6989.14,0,0,57218,409368,921.56,6989.14,0,0,57218,409368,0.27476,0,2.33356,0.442965,-1.50058,-1.50058,2013,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
87763.4,0,0,0,5625.03,48229.2,908.01,6226.62,0,0,5625.03,48229.2,908.01,6226.62,0,0.271693,0.0688748,0.442965,-1.50058,-1.50058,2013,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,722663,1830.92,13277.2,0,0,15216.8,102441,1830.92,13277.2,0,0,15216.8,102441,0.43215,0,0.830752,0.278344,-0.972668,-0.972668,2014,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
45549.7,0,0,0,727.71,7996.32,2193.87,14076.2,0,0,727.71,7996.32,2193.87,14076.2,0,0.0747258,0.191116,0.278344,-0.972668,-0.972668,2014,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,1225200,6.13,41.4403,0,0,66.28,362.957,6.13,41.4403,0,0,66.28,362.957,0.000586474,0,0.33213,0.010915,-1.49584,-1.49584,2015,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
40612,0,0,0,185.82,1290.19,1.29,7.0505,0,0,185.82,1290.19,1.29,7.0505,0,0.0201338,0.00909721,0.010915,-1.49584,-1.49584,2015,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,726096,283.54,2104.8,0,0,173.15,949.246,283.54,2104.8,0,0,173.15,949.246,0.0368004,0,1.26571,0.264718,-0.815117,-0.815117,2016,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
50584.1,0,0,0,7080.53,58528.3,0.0499999,0.273581,0,0,7080.53,58528.3,0.0499999,0.273581,0,1.08333,0.000601611,0.264718,-0.815117,-0.815117,2016,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,1434270,170.41,1434.45,0,0,1.17,6.43116,170.41,1434.45,0,0,1.17,6.43116,0.0199087,0,0.0116101,0.188857,-1.83494,-1.83494,2017,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
53406.4,0,0,0,6229.43,50585.8,2.22,12.1654,0,0,6229.43,50585.8,2.22,12.1654,0,0.65634,0.0300695,0.188857,-1.83494,-1.83494,2017,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,568067,35.31,286.969,0,0,7.85999,43.2975,35.31,286.969,0,0,7.85999,43.2975,0.0026795,0,0.0678214,0.261832,-0.710291,-0.710291,2018,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
61206.1,0,0,0,11819.4,96645.4,2.51,13.7791,0,0,11819.4,96645.4,2.51,13.7791,0,1.12972,0.0296011,0.261832,-0.710291,-0.710291,2018,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,2543980,130.86,1068.96,0,0,7.73,42.4775,130.86,1068.96,0,0,7.73,42.4775,0.012024,0,0.0386608,0.278917,-0.00602276,-0.00602276,2019,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
58424.3,0,0,0,11819.4,96849.2,2.51,13.7507,0,0,11819.4,96849.2,2.51,13.7507,0,1.24486,0.0171237,0.278917,-0.00602276,-0.00602276,2019,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,5144850,1092.3,8724.42,0,0,75.9248,415.018,1092.3,8724.42,0,0,75.9248,415.018,0.0773407,0,0.292798,0.455209,0,0,2020,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
75901.1,0,0,0,30866.1,272665,21.3083,116.291,0,0,30866.1,272665,21.3083,116.291,0,3.99972,0.123367,0.455209,0,0,2020,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,5175930,1105.85,10223.1,0,0,75.7164,413.954,1105.85,10223.1,0,0,75.7164,413.954,0.164958,0,0.624502,0.462292,0,0,2021,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
129005,0,0,0,38266.7,403902,18.6673,101.894,0,0,38266.7,403902,18.6673,101.894,0,4,0.249004,0.462292,0,0,2021,"researchOM_constantgrowthEM_EM_2020",1,"researchModel"
NA,0,5.77999,50.8928,0,0,0,0,5.77999,50.8928,0,0,0,0,0.105109,0,0,0.2552,-2.65834,-2.65834,1981,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
542.298,0,0,0,57.1499,536.103,0,0,0,0,57.1499,536.103,0,0,0,0.875759,0,0.2552,-2.65834,-2.65834,1981,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
NA,280129,73.9399,652.497,0,0,0,0,73.9399,652.497,0,0,0,0,0.825916,0,0,0.512136,-1.66439,-1.66439,1982,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
1561.52,0,0,0,411.031,4501.44,0,0,0,0,411.031,4501.44,0,0,0,4.00003,0,0.512136,-1.66439,-1.66439,1982,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
NA,714362,213.19,3668.17,0,0,0,0,213.19,3668.17,0,0,0,0,0.0734261,0,0,0.161638,-1.44628,-1.44628,1983,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
5585.68,0,0,0,159.12,1759.91,0,0,0,0,159.12,1759.91,0,0,0,0.374988,0,0.161638,-1.44628,-1.44628,1983,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
NA,838565,75.39,1237.58,0,0,0,0,75.39,1237.58,0,0,0,0,0.00872863,0,0,0.391205,-1.46784,-1.46784,1984,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
16854.6,0,0,0,3495.8,36824.2,0,0,0,0,3495.8,36824.2,0,0,0,2.46402,0,0.391205,-1.46784,-1.46784,1984,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
NA,774585,819.43,11300.9,0,0,0,0,819.43,11300.9,0,0,0,0,0.0720435,0,0,0.124854,0.121519,0.121519,1985,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
28337,0,0,0,1019,9513.4,0,0,0,0,1019,9513.4,0,0,0,0.262249,0,0.124854,0.121519,0.121519,1985,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
NA,3752290,387.71,5167.71,0,0,0,0,387.71,5167.71,0,0,0,0,0.0299392,0,0,0.113104,0.361211,0.361211,1986,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
41311.6,0,0,0,2278.89,19184.4,0,0,0,0,2278.89,19184.4,0,0,0,0.294189,0,0.113104,0.361211,0.361211,1986,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
NA,4768630,2247.31,37919.5,0,0,0,0,2247.31,37919.5,0,0,0,0,0.0576476,0,0,0.135961,-0.289464,-0.289464,1987,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
88354.3,0,0,0,3639.76,33821.3,0,0,0,0,3639.76,33821.3,0,0,0,0.291496,0,0.135961,-0.289464,-0.289464,1987,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
NA,2487760,2179.91,34002.4,0,0,0,0,2179.91,34002.4,0,0,0,0,0.0335606,0,0,0.0626437,-1.39541,-1.39541,1988,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
162875,0,0,0,2614.75,24489.3,0,0,0,0,2614.75,24489.3,0,0,0,0.106025,0,0.0626437,-1.39541,-1.39541,1988,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
NA,823196,7290.44,69745.3,0,0,0,0,7290.44,69745.3,0,0,0,0,0.170373,0,0,0.154239,-0.378981,-0.378981,1989,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
195793,0,0,0,8031.52,85189.4,0,0,0,0,8031.52,85189.4,0,0,0,0.115197,0,0.154239,-0.378981,-0.378981,1989,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
NA,2274740,6158.41,51125.7,0,0,0,0,6158.41,51125.7,0,0,0,0,0.111913,0,0,0.21283,0.239253,0.239253,1990,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
169988,0,0,0,14443.5,129537,0,0,0,0,14443.5,129537,0,0,0,0.269716,0,0.21283,0.239253,0.239253,1990,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
NA,4221120,24698,173630,0,0,0,0,24698,173630,0,0,0,0,0.780772,0,0,0.291075,0.170871,0.170871,1991,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
126808,0,0,0,10323.5,95078.1,0,0,0,0,10323.5,95078.1,0,0,0,0.30118,0,0.291075,0.170871,0.170871,1991,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
NA,3942120,43433.3,337722,0,0,3.89999,21.5359,43433.3,337722,0,0,3.89999,21.5359,2.15149,0,0.0757429,0.52361,0.831516,0.831516,1992,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
122978,0,0,0,30776.4,372284,0.18,0.989286,0,0,30776.4,372284,0.18,0.989286,0,1.44668,0.00486482,0.52361,0.831516,0.831516,1992,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
NA,7632100,822.8,8632.72,0,0,0,0,822.8,8632.72,0,0,0,0,0.0384362,0,0,0.10629,1.83164,1.83164,1993,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
165957,0,0,0,11345.8,151162,0,0,0,0,11345.8,151162,0,0,0,0.133279,0,0.10629,1.83164,1.83164,1993,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
NA,20748800,8838.65,90121.8,0,0,0,0,8838.65,90121.8,0,0,0,0,0.214045,0,0,0.234481,1.2382,1.2382,1994,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
260850,0,0,0,39748.4,580205,0,0,0,0,39748.4,580205,0,0,0,0.274353,0,0.234481,1.2382,1.2382,1994,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
NA,11462100,5993.28,63149.4,0,0,22.68,124.566,5993.28,63149.4,0,0,22.68,124.566,0.109131,0,0.177569,0.114863,1.44603,1.44603,1995,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
516939,0,0,0,26565.7,367429,0,0,0,0,26565.7,367429,0,0,0,0.104551,0,0.114863,1.44603,1.44603,1995,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
NA,14109900,11917.3,119180,0,0,0,0,11917.3,119180,0,0,0,0,0.104843,0,0,0.0804931,1.92116,1.92116,1996,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
718540,0,0,0,19158.7,229680,43.54,238.367,0,0,19158.7,229680,43.54,238.367,0,0.0541305,0.372025,0.0804931,1.92116,1.92116,1996,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
NA,22691800,13018.2,180939,0,0,27.22,149.602,13018.2,180939,0,0,27.22,149.602,0.127086,0,0.174234,0.0853746,1.79806,1.79806,1997,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
832098,0,0,0,24527.6,291941,0.819999,4.49497,0,0,24527.6,291941,0.819999,4.49497,0,0.0557578,0.00716953,0.0853746,1.79806,1.79806,1997,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
NA,20063700,18925.2,274629,0,0,488.273,2699.49,18925.2,274629,0,0,488.273,2699.49,0.138937,0,4,0.148615,0.39705,0.39705,1998,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
1014450,0,0,0,63278.4,775208,74.3899,411.509,0,0,63278.4,775208,74.3899,411.509,0,0.121587,1.29123,0.148615,0.39705,0.39705,1998,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
NA,4942620,14996.2,191687,0,0,725.2,6059.75,14996.2,191687,0,0,725.2,6059.75,2.27716,0,0.00235078,0.132011,0.476882,0.476882,1999,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
1154490,0,0,0,58341.4,718622,429.59,3285.05,0,0,58341.4,718622,429.59,3285.05,0,0.244993,0.00168684,0.132011,0.476882,0.476882,1999,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
NA,5353390,23671.6,273423,0,0,15586.3,124592,23671.6,273423,0,0,15586.3,124592,4.00001,0,0.0441968,0.173282,0.543187,0.543187,2000,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
1016280,0,0,0,35179.2,405240,2336.9,17098.9,0,0,35179.2,405240,2336.9,17098.9,0,0.232705,0.00826197,0.173282,0.543187,0.543187,2000,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
NA,5720370,11550.5,142441,0,0,22546,161938,11550.5,142441,0,0,22546,161938,1.77201,0,0.0756388,0.286314,-1.24602,-1.24602,2001,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
775065,0,0,0,41118.4,676431,3136.84,21129.9,0,0,41118.4,676431,3136.84,21129.9,0,0.985088,0.0135467,0.286314,-1.24602,-1.24602,2001,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
NA,955834,16418.3,212997,0,0,35529.4,241326,16418.3,212997,0,0,35529.4,241326,4.00003,0,0.153722,0.416968,2.09067,2.09067,2002,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
562426,0,0,0,36130.7,465469,597.29,3859.49,0,0,36130.7,465469,597.29,3859.49,0,1.44643,0.0034522,0.416968,2.09067,2.09067,2002,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
NA,26883500,10340.6,199837,0,0,37242.3,267472,10340.6,199837,0,0,37242.3,267472,2.36948,0,0.199241,0.359328,1.75781,1.75781,2003,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
376434,0,0,0,21300.5,352314,2618.43,18202.5,0,0,21300.5,352314,2618.43,18202.5,0,0.28843,0.0186373,0.359328,1.75781,1.75781,2003,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
NA,19272100,17049,325667,0,0,46730.8,423192,17049,325667,0,0,46730.8,423192,0.681403,0,0.326402,0.283091,1.76687,1.76687,2004,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
559971,0,0,0,25249.9,374603,1016.32,9091.25,0,0,25249.9,374603,1016.32,9091.25,0,0.0791448,0.0084589,0.283091,1.76687,1.76687,2004,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
NA,19447400,13803,213889,0,0,54152.6,445100,13803,213889,0,0,54152.6,445100,0.656219,0,0.630677,0.283366,1.20053,1.20053,2005,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
839442,0,0,0,30364.2,480012,101.7,789.994,0,0,30364.2,480012,101.7,789.994,0,0.133223,0.00157673,0.283366,1.20053,1.20053,2005,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
NA,11038300,20726.2,315164,0,0,41220.9,345576,20726.2,315164,0,0,41220.9,345576,1.08219,0,0.280475,0.225234,0.570801,0.570801,2006,"researchOM_constantgrowthEM_EM_init",1,"researchModel"
